vial_id,cruise,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,gis_station,bottom_depth,gear_temperature,start_date,sample_region,lme,DWT_WWT,Perc_DWT,WWT_DWT,year
2021-AKK-15,202101,162,143,1,76.53,13.8,155,0.3281,0.0973,0,60.00067,-173.97722,P-26,100,1.9,7062021,4,EBS,0.29655592807071013,29.655592807071013,3.3720452209660845,2021
2021-AKK-16,202101,162,143,1,83.03,15.52,219,0.394,0.1938,0,60.00067,-173.97722,P-26,100,1.9,7062021,4,EBS,0.4918781725888325,49.18781725888325,2.0330237358101138,2021
2021-AKK-17,202101,162,143,1,79.92,12.58,157,0.2889,0.1063,0,60.00067,-173.97722,P-26,100,1.9,7062021,4,EBS,0.36794738663897547,36.79473866389755,2.7177798682972716,2021
2021-AKK-18,202101,162,153,1,94.51,17.76,345,0.3927,0.1212,0,58.67781,-172.36717,L-24,101,2.8,7082021,6,EBS,0.30863254392666156,30.863254392666157,3.24009900990099,2021
2021-AKK-19,202101,162,179,1,72.57,10.3,115,0.2914,0.1232,0,59.66375,-177.14101,O-31,175,1.8,7192021,5,EBS,0.422786547700755,42.278654770075505,2.36525974025974,2021
2021-AKK-20,202101,162,184,1,90.8,17.6,284,0.3518,0.1537,0,60.32376,-177.3797,Q-31,146,1.5,7202021,5,EBS,0.4368959636156907,43.68959636156907,2.2888744307091735,2021
2021-AKK-21,202101,162,184,1,97.26,20.1,342,0.3249,0.1458,1,60.32376,-177.3797,Q-31,146,1.5,7202021,5,EBS,0.4487534626038781,44.87534626038781,2.228395061728395,2021
2021-AKK-22,202101,162,184,1,100.07,19.62,401,0.369,0.1843,0,60.32376,-177.3797,Q-31,146,1.5,7202021,5,EBS,0.4994579945799458,49.945799457994575,2.0021703743895825,2021
2021-AKK-23,202101,162,185,1,92.37,18.93,317,0.3225,0.1263,1,60.66455,-177.50949,R-31,147,1.8,7202021,5,EBS,0.39162790697674416,39.16279069767442,2.5534441805225656,2021
2021-AKK-24,202101,162,185,1,86.61,16.12,262,0.4002,0.1918,0,60.66455,-177.50949,R-31,147,1.8,7202021,5,EBS,0.47926036981509246,47.92603698150925,2.0865484880083423,2021
2021-AKK-25,202101,162,185,1,88.56,18.78,272,0.3574,0.145,1,60.66455,-177.50949,R-31,147,1.8,7202021,5,EBS,0.4057078903189703,40.57078903189703,2.464827586206897,2021
2021-AKK-26,202102,162,2,2,57.41,0,58,0.3025,0.0956,0,62.33486,-175.27563,W-27,79,-0.6,7232021,7,NBS,0.3160330578512397,31.60330578512397,3.1642259414225937,2021
2021-AKK-27,202102,162,2,2,57.59,0,60,0.2567,0.0658,0,62.33486,-175.27563,W-27,79,-0.6,7232021,7,NBS,0.2563303467082197,25.63303467082197,3.9012158054711246,2021
2021-AKK-28,202102,162,2,2,55.27,0,56,0.3627,0.131,0,62.33486,-175.27563,W-27,79,-0.6,7232021,7,NBS,0.3611800385993934,36.11800385993934,2.768702290076336,2021
2021-AKK-29,202102,162,4,2,53.86,0,47,0.2226,0.0686,0,62.6591,-174.62102,X-26,73,-1.7,7232021,7,NBS,0.3081761006289308,30.81761006289308,3.2448979591836737,2021
2021-AKK-30,202102,162,4,2,55.57,0,51,0.9023,0.3067,0,62.6591,-174.62102,X-26,73,-1.7,7232021,7,NBS,0.33990912113487753,33.99091211348775,2.9419628301271605,2021
2021-AKK-31,202102,162,4,2,52.81,0,48,0.2256,0.0786,0,62.6591,-174.62102,X-26,73,-1.7,7232021,7,NBS,0.348404255319149,34.840425531914896,2.8702290076335877,2021
2021-AKK-32,202102,162,12,1,58,10.42,63,0.3566,0.1278,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.3583847448121144,35.83847448121144,2.790297339593114,2021
